0021369	APC	adenomatous polyposis coli
10021369	GSK-3beta	glycogen synthase kinase 3beta
10051005	HNPCC	hereditary non-polyposis cancer syndrome
10051007	AO	Age of onset
10051007	APOE	Apolipoprotein E
10051007	HD	Huntington disease
10064668	CHH	cartilage-hair hypoplasia
10071185	DPD	Dihydropyrimidine dehydrogenase
10071193	BFLS	Borjeson-Forssman-Lehmann syndrome
10071193	FHF2	factor homologous factor 2
10077614	DDS	Denys-Drash syndrome
10077614	WT	Wilms tumor
10077614	ZF	zinc finger
10077651	HH	Hereditary hemochromatosis
10077651	IRE	iron responsive element
10077651	TfR	transferrin receptor
10078732	ALD	adrenoleukodystrophy
10078732	MEPs	motor evoked potentials
10078732	SEPs	somatosensory evoked potentials
10083733	APC	adenomatous polyposis coli
10083733	FAP	familial adenomatous polyposis
10083733	PTT	protein truncation test
10083733	RT-PCR	reverse transcription-polymerase chain reaction
10083733	SSCP	single-strand conformation polymorphism
10083733	mRNA	messenger RNA
10083734	PCR	polymerase chain reaction
10083734	SSCP	PCR/single-strand conformation polymorphism
10085150	Tf	transferrin
10085150	TfR	transferrin receptor
10090880	FMF	Familial Mediterranean fever
10090885	ALPS	Autoimmune lymphoproliferative syndrome
10090890	GH	Genetic hemochromatosis
10091617	PD	Parkinson's disease
10091617	UKPDRG	United Kingdom Parkinson's Disease Research Group
10094552	DBS	dried blood spot
10094559	HGD	"homogentisate 1,2-dioxygenase"
10094559	aku	Alkaptonuria
10190331	EVA	Enlarged vestibular aqueduct
10190819	ALD	adrenoleukodystrophy
10192393	APC	adenomatous polyposis coli
10192399	PDS	Pendred syndrome
10193204	APTT	activated partial thromboplastin time
10193204	ASA	acetylsalicylic acid
10193204	EP	epinephrine
10193204	FAN	fangchinoline
10193204	PT	prothrombin time
10193204	TET	Tetrandrine
10193204	TT	thrombin time
10194428	HH	Hereditary hemochromatosis
10196381	ABC	ATP-binding cassette
10196381	ALDP	adrenoleukodystrophy protein
10196381	ALDRP	adrenoleukodystrophy-related protein
10196381	X-ALD	X-linked adrenoleukodystrophy
10200300	ALPS	autoimmune lymphoproliferative syndrome
10205262	AKU	alkaptonuria
10205262	HGO	"homogentisate 1,2 dioxygenase gene"
10208645	CYP	cytochrome P450
10208848	FD	Fabry disease
10208848	GLA	alpha-galactosidase A gene
10210128	PLP	proteolipid protein
10213492	APC	adenomatous polyposis coli
10213492	FAP	familial APC
10219427	IDR	intradermoreactions
10220405	BRCT	BRCA1 contains a carboxyl-terminal domain
10323252	EDMD	Emery-Dreifuss muscular dystrophy
10323740	VWS	Van der Woude syndrome
10327032	5-FU	5-fluorouracil
10330348	AT	ataxia-telangiectasia
10330430	FHC	familial hypertrophic cardiomyopathy
10330430	IDC	idiopathic dilated cardiomyopathy
10342929	ACE	angiotensin-converting enzyme
10353787	AGA	aspartylglucosaminidase
10353787	AGU	Aspartylglucosaminuria
10364518	OCRL	oculocerebrorenal syndrome of Lowe
10364520	FMF	Familial Mediterranean fever
10364521	FMRP	FMR1 gene product
10364525	HPC	hereditary prostate cancer
10364525	NPL	nonparametric linkage
10365197	CIMD	cocaine-induced mood disorder
10369860	VCFS/DGS	velo-cardio-facial syndrome/DiGeorge syndrome
10369870	EGR2	early growth response 2 gene
10369876	AVP	arginine vasopressin
10369876	Leu	Leu-AVP
10377440	GPI	glycosyl phosphatidylinositol
10382909	EMD	Emery-Dreifuss muscular dystrophy
10382910	EDMD	Emery-Dreifuss muscular dystrophy
10401555	CNS	central nervous system
10401555	ORL1	opioid receptor-like receptor 1
10403837	PHA	phytohemagglutinin
10408771	GALT	galactose-1-phosphate uridyl transferase
10408776	PCR	polymerase chain reaction
10408776	RCC	renal cell carcinoma
10408776	SSCP	single-strand conformational polymorphism analysis
10408776	VHL	von Hippel-Lindau
10411929	CHS	Chediak-Higashi syndrome
10411929	CTLA-4	Cytotoxic T lymphocyte-associated antigen 4
10417279	PLP	proteolipoprotein
10417279	PMD	Pelizaeus-Merzbacher Disease
10417280	AS	Angelman syndrome
10417280	PWS	Prader-Willi syndrome
10417286	CL/P	cleft lip/palate
10417286	CP	cleft palate
10417286	VWS	van der Woude syndrome
10425038	PCR	polymerase chain reaction
10425038	SSCP	single-strand conformation polymorphism
10429004	MHP	mild hyperphenylalaninemia
10429004	MPKUCS	Maternal PKU Collaborative Study
10429004	PAH	phenylalanine hydroxylase
10429004	PKU	phenylketonuria
10430841	CTX	cerebrotendinous xanthomatosis
10430930	AS	Angelman syndrome
10430930	PWS	Prader-Willi syndrome
10434119	vWS	van der Woude syndrome
10441343	MJD	Machado-Joseph disease
10441571	CTS	C-terminal subdomain
10441571	NTS	N-terminal subdomain
10446987	COLIA1	collagen type Ialpha1
10446987	DFSP	Dermatofibrosarcoma protuberans
10446987	PDGF	platelet-derived growth factor
10447259	WAS	Wiskott-Aldrich syndrome
10447259	WASP	WAS protein
10449429	DMD	Duchenne muscular dystrophy
10449794	A-T	Ataxia-telangiectasia
10449794	ROS	reactive oxygen species
10462057	HBMP	human bone marrow progenitor
10465113	DTDST	diastrophic dysplasia sulphate transporter gene
10470088	FAP	familial adenomatous polyposis
10470286	PCR-SSCP	Polymerase chain reaction-single-strand conformation polymorphism
10472529	PAH	phenylalanine hydroxylase
10480214	EDMD	Emery-Dreifuss muscular dystrophy
10480348	ERG	electroretinogram
10484765	3'-UTR	3'-untranslated region
10484765	DMPK	DM protein kinase gene
10487695	G395R	Gly395-->Arg
10487710	AVP	arginine vasopressin
10487710	AVP-NPII	AVP-neurophysin II
10487710	FNDI	Familial neurohypophyseal diabetes insipidus
10491763	HNF	hepatocyte nuclear factor
10491763	II	non-insulin-dependent
10500204	FRDA	Friedreich ataxia
10519880	CTX	cerebrotendinous xanthomatosis
10519880	PCR-SSCP	polymerase chain reaction-single strand conformation polymorphism
10519880	RT-PCR	reverse transcription PCR
10526274	GEM	gemcitabine
10526274	NSCLC	nonsmall cell lung carcinoma
10526274	VNB	vinorelbine
10528243	FMF	familial Mediterranean fever
10528860	PWS	Prader-Willi syndrome
10541953	GH	growth hormone
10541953	PWS	Prader-Willi syndrome
10543403	FRDA	Friedreich ataxia
10545613	5-azadC	5-azadeoxycytidine
10554035	FISH	fluorescence in situ hybridization
10554035	VHL	von Hippel-Lindau
10556283	cPNETs	central primitive neuroectodermal tumors
10556285	SCA3/MJD	Spinocerebellar ataxia type-3 or Machado-Joseph disease
10556298	PWS	Prader-Willi syndrome
10571943	DDS	Denys-Drash syndrome
10571943	FS	Frasier syndrome
10577908	FALDH	fatty aldehyde dehydrogenase
10577908	SLS	Sjogren-Larsson syndrome
10577908	SNPs	single-nucleotide polymorphisms
10579464	MAP	methamphetamine
10579464	PPI	prepulse inhibition
10589394	LOD	limit of detection
10589394	STR	short tandem repeat
10589394	VWS	Van der Woude syndrome
10590055	GP	glycoprotein
10593994	CTSC	cathepsin C gene
10593994	PLS	Papillon-Lefevre syndrome
10594001	AKU	Alkaptonuria
10594001	HGO	"homogentisate-1,2-dioxygenase gene"
10598803	AAPC	attenuated adenomatous polyposis coli
10602116	CT	computed tomography
10607954	CT	computed tomography
10612394	ATLD	ataxia-telangiectasia-like disorder
10615125	FEO	Familial expansile osteolysis
10615125	NF-kappaB	nuclear factor-kappaB
10615125	PDB	Paget disease of bone
10615125	RANK	receptor activator of nuclear factor-kappa B
10618304	IVF	idiopathic ventricular fibrillation
10618304	hbeta(1)	human beta(1)-subunit
10636421	XLRS	X-linked retinoschisis
10639175	ATM	"ataxia telangiectasia, mutated"
10639175	CNS	central nervous system
10639175	IR	ionizing radiation
10661407	BG	Birbeck granules
10661407	LC	Langerhans cells
10662807	HMS	Haim-Munk syndrome
10662807	PLS	Papillon-Lefevre syndrome
10662807	PPK	palmoplantar keratoderma
10672628	NADPH-d	nicotinamide adenine dinucleotide phosphate-diaphorase
10672628	NO	Nitric oxide
10672628	NOS	nitric-oxide synthase
10677309	A-T	ataxia-telangiectasia
10698963	G6PD	glucose 6-phosphate dehydrogenase
10698963	aa	amino acid
10704919	TAM	Tamoxifen
10704919	alpha-T	alpha-tocopherol
10704919	alpha-TAc	alpha-tocopherol acetate
10706004	SBP	systolic blood pressure
10709732	ALPS	Autoimmune lymphoproliferative syndrome
10712201	AS	Angelman syndrome
10712201	PWS	Prader-Willi syndrome
10712209	ICPCG	International Consortium for Prostate Cancer Genetics
10712225	HD	Huntington disease
10713017	PPH	primary pulmonary hypertension
10713017	SPH	secondary pulmonary hypertension
10716718	A-T	ataxia-telangiectasia
10721669	WD	Wilson disease
10724160	WASP	Wiskott-Aldrich syndrome protein
10732811	MJD	Machado-Joseph disease
10732811	SCA3	spinocerebellar ataxia type 3
10732816	EDMD	Emery-Dreifuss muscular dystrophy
10735274	FRDA	Friedreich ataxia
10736265	GK	Glycerol kinase
10736265	IGT	Impaired glucose tolerance
10737980	X-ALD	X-linked Adrenoleukodystrophy
10737981	EBP	elastin binding protein
10739826	OC	oral contraceptives
10739826	VTE	venous thromboembolism
10747931	HMG	high mobility group
10766245	AT	ataxia-telangiectasia
10766245	NBS	Nijmegen breakage syndrome
10767313	FMR1	fragile X mental retardation-1
10767313	FMRP	FMR1 protein
10767326	ARA	Axenfeld-Rieger anomaly
10767326	IOP	intraocular pressure
10767339	YAC	yeast artificial chromosome
10767343	DMPK	DM protein kinase
10767347	FRDA	Friedreich ataxia
10770468	ECG	electrocardiographic
10777718	AJ	Ashkenazi Jewish
10777718	GD	Gaucher disease
